,probability
s000,0.024305555555555556
s001,0.024305555555555556
s002,0.024305555555555556
s003,0.018499999999999996
s004,0.018499999999999996
s005,0.018499999999999996
s006,0.018088888888888887
s007,0.018088888888888887
s008,0.018088888888888887
s009,0.018088888888888887
s010,0.018088888888888887
s011,0.018088888888888887
s012,0.017499999999999998
s013,0.017499999999999998
s014,0.017499999999999998
s015,0.014799999999999997
s016,0.014799999999999997
s017,0.014799999999999997
s018,0.014583333333333332
s019,0.014583333333333332
s020,0.014583333333333332
s021,0.013566666666666666
s022,0.013566666666666666
s023,0.013566666666666666
s024,0.011099999999999999
s025,0.011099999999999999
s026,0.011099999999999999
s027,0.00972222222222222
s028,0.00972222222222222
s029,0.00972222222222222
s030,0.00972222222222222
s031,0.00972222222222222
s032,0.00972222222222222
s033,0.009166666666666667
s034,0.009166666666666667
s035,0.009166666666666667
s036,0.008749999999999999
s037,0.008749999999999999
s038,0.008749999999999999
s039,0.008233333333333332
s040,0.008233333333333332
s041,0.008233333333333332
s042,0.007399999999999999
s043,0.007399999999999999
s044,0.007399999999999999
s045,0.007333333333333332
s046,0.007333333333333332
s047,0.007333333333333332
s048,0.006577777777777777
s049,0.006577777777777777
s050,0.006577777777777777
s051,0.0065
s052,0.0065
s053,0.0065
s054,0.005999999999999999
s055,0.005999999999999999
s056,0.005999999999999999
s057,0.005833333333333333
s058,0.005833333333333333
s059,0.005833333333333333
s060,0.005416666666666667
s061,0.005416666666666667
s062,0.005416666666666667
s063,0.004999999999999999
s064,0.004999999999999999
s065,0.004999999999999999
s066,0.004666666666666666
s067,0.004666666666666666
s068,0.004666666666666666
s069,0.004666666666666666
s070,0.004666666666666666
s071,0.004666666666666666
s072,0.004522222222222222
s073,0.004522222222222222
s074,0.004522222222222222
s075,0.004116666666666666
s076,0.004116666666666666
s077,0.004116666666666666
s078,0.00375
s079,0.00375
s080,0.00375
s081,0.00375
s082,0.00375
s083,0.00375
s084,0.0036999999999999993
s085,0.0036999999999999993
s086,0.0036999999999999993
s087,0.003666666666666666
s088,0.003666666666666666
s089,0.003666666666666666
s090,0.0034999999999999996
s091,0.0034999999999999996
s092,0.0034999999999999996
s093,0.0034999999999999996
s094,0.0034999999999999996
s095,0.0034999999999999996
s096,0.00325
s097,0.00325
s098,0.00325
s099,0.00325
s100,0.00325
s101,0.00325
s102,0.0029999999999999996
s103,0.0029999999999999996
s104,0.0029999999999999996
s105,0.0029166666666666664
s106,0.0029166666666666664
s107,0.0029166666666666664
s108,0.002744444444444444
s109,0.002744444444444444
s110,0.002744444444444444
s111,0.0024999999999999996
s112,0.0024999999999999996
s113,0.0024999999999999996
s114,0.002333333333333333
s115,0.002333333333333333
s116,0.002333333333333333
s117,0.002333333333333333
s118,0.002333333333333333
s119,0.002333333333333333
s120,0.0021666666666666666
s121,0.0021666666666666666
s122,0.0021666666666666666
s123,0.0021666666666666666
s124,0.0021666666666666666
s125,0.0021666666666666666
s126,0.0021666666666666666
s127,0.0021666666666666666
s128,0.0021666666666666666
s129,0.0019999999999999996
s130,0.0019999999999999996
s131,0.0019999999999999996
s132,0.001833333333333333
s133,0.001833333333333333
s134,0.001833333333333333
s135,0.0016444444444444443
s136,0.0016444444444444443
s137,0.0016444444444444443
s138,0.0015555555555555553
s139,0.0015555555555555553
s140,0.0015555555555555553
s141,0.001372222222222222
s142,0.001372222222222222
s143,0.001372222222222222
s144,0.001233333333333333
s145,0.001233333333333333
s146,0.001233333333333333
s147,0.001233333333333333
s148,0.001233333333333333
s149,0.001233333333333333
s150,0.001233333333333333
s151,0.001233333333333333
s152,0.001233333333333333
s153,0.0010833333333333333
s154,0.0010833333333333333
s155,0.0010833333333333333
s156,0.0009999999999999998
s157,0.0009999999999999998
s158,0.0009999999999999998
s159,0.0008222222222222221
s160,0.0008222222222222221
s161,0.0008222222222222221
s162,0.0008222222222222221
s163,0.0008222222222222221
s164,0.0008222222222222221
s165,0.0007777777777777776
s166,0.0007777777777777776
s167,0.0007777777777777776
s168,0.0005833333333333334
s169,0.0005833333333333334
s170,0.0005833333333333334
s171,0.0002888888888888889
s172,0.0002888888888888889
s173,0.0002888888888888889
s174,0.0002888888888888889
s175,0.0002888888888888889
s176,0.0002888888888888889
s177,0.00025
s178,0.00025
s179,0.00025
s180,0.00021666666666666668
s181,0.00021666666666666668
s182,0.00021666666666666668
s183,8.333333333333333e-05
s184,8.333333333333333e-05
s185,8.333333333333333e-05
s186,8.333333333333333e-05
s187,8.333333333333333e-05
s188,8.333333333333333e-05
s189,7.222222222222222e-05
s190,7.222222222222222e-05
s191,7.222222222222222e-05
