,probability
s000,0.03502777777777778
s001,0.03502777777777778
s002,0.03502777777777778
s003,0.02802222222222222
s004,0.02802222222222222
s005,0.02802222222222222
s006,0.025650000000000003
s007,0.025650000000000003
s008,0.025650000000000003
s009,0.017783333333333335
s010,0.017783333333333335
s011,0.017783333333333335
s012,0.016166666666666666
s013,0.016166666666666666
s014,0.016166666666666666
s015,0.016166666666666666
s016,0.016166666666666666
s017,0.016166666666666666
s018,0.01401111111111111
s019,0.01401111111111111
s020,0.01401111111111111
s021,0.012825000000000001
s022,0.012825000000000001
s023,0.012825000000000001
s024,0.011511111111111113
s025,0.011511111111111113
s026,0.011511111111111113
s027,0.011511111111111113
s028,0.011511111111111113
s029,0.011511111111111113
s030,0.0095
s031,0.0095
s032,0.0095
s033,0.008891666666666668
s034,0.008891666666666668
s035,0.008891666666666668
s036,0.008736111111111113
s037,0.008736111111111113
s038,0.008736111111111113
s039,0.008736111111111113
s040,0.008736111111111113
s041,0.008736111111111113
s042,0.00855
s043,0.00855
s044,0.00855
s045,0.007005555555555555
s046,0.007005555555555555
s047,0.007005555555555555
s048,0.006333333333333332
s049,0.006333333333333332
s050,0.006333333333333332
s051,0.006333333333333332
s052,0.006333333333333332
s053,0.006333333333333332
s054,0.0059277777777777775
s055,0.0059277777777777775
s056,0.0059277777777777775
s057,0.005755555555555556
s058,0.005755555555555556
s059,0.005755555555555556
s060,0.005755555555555556
s061,0.005755555555555556
s062,0.005755555555555556
s063,0.005699999999999999
s064,0.005699999999999999
s065,0.005699999999999999
s066,0.005699999999999999
s067,0.005699999999999999
s068,0.005699999999999999
s069,0.00475
s070,0.00475
s071,0.00475
s072,0.004275
s073,0.004275
s074,0.004275
s075,0.0032333333333333333
s076,0.0032333333333333333
s077,0.0032333333333333333
s078,0.0032333333333333333
s079,0.0032333333333333333
s080,0.0032333333333333333
s081,0.0029638888888888887
s082,0.0029638888888888887
s083,0.0029638888888888887
s084,0.0028500000000000005
s085,0.0028500000000000005
s086,0.0028500000000000005
s087,0.0023750000000000004
s088,0.0023750000000000004
s089,0.0023750000000000004
s090,0.002055555555555556
s091,0.002055555555555556
s092,0.002055555555555556
s093,0.0018999999999999996
s094,0.0018999999999999996
s095,0.0018999999999999996
s096,0.0017472222222222223
s097,0.0017472222222222223
s098,0.0017472222222222223
s099,0.0017472222222222223
s100,0.0017472222222222223
s101,0.0017472222222222223
s102,0.00165
s103,0.00165
s104,0.00165
s105,0.0016444444444444445
s106,0.0016444444444444445
s107,0.0016444444444444445
s108,0.0016166666666666669
s109,0.0016166666666666669
s110,0.0016166666666666669
s111,0.001583333333333333
s112,0.001583333333333333
s113,0.001583333333333333
s114,0.0014250000000000003
s115,0.0014250000000000003
s116,0.0014250000000000003
s117,0.0014250000000000003
s118,0.0014250000000000003
s119,0.0014250000000000003
s120,0.0009500000000000001
s121,0.0009500000000000001
s122,0.0009500000000000001
s123,0.0009500000000000001
s124,0.0009500000000000001
s125,0.0009500000000000001
s126,0.0009500000000000001
s127,0.0009500000000000001
s128,0.0009500000000000001
s129,0.00095
s130,0.00095
s131,0.00095
s132,0.000825
s133,0.000825
s134,0.000825
s135,0.0008222222222222222
s136,0.0008222222222222222
s137,0.0008222222222222222
s138,0.0006333333333333333
s139,0.0006333333333333333
s140,0.0006333333333333333
s141,0.00055
s142,0.00055
s143,0.00055
s144,0.000538888888888889
s145,0.000538888888888889
s146,0.000538888888888889
s147,0.000538888888888889
s148,0.000538888888888889
s149,0.000538888888888889
s150,0.000538888888888889
s151,0.000538888888888889
s152,0.000538888888888889
s153,0.00047500000000000005
s154,0.00047500000000000005
s155,0.00047500000000000005
s156,0.0004111111111111111
s157,0.0004111111111111111
s158,0.0004111111111111111
s159,0.0004111111111111111
s160,0.0004111111111111111
s161,0.0004111111111111111
s162,0.00030833333333333337
s163,0.00030833333333333337
s164,0.00030833333333333337
s165,0.00030833333333333337
s166,0.00030833333333333337
s167,0.00030833333333333337
s168,0.000275
s169,0.000275
s170,0.000275
s171,0.00020555555555555556
s172,0.00020555555555555556
s173,0.00020555555555555556
s174,0.000175
s175,0.000175
s176,0.000175
s177,0.00015833333333333332
s178,0.00015833333333333332
s179,0.00015833333333333332
s180,0.00015833333333333332
s181,0.00015833333333333332
s182,0.00015833333333333332
s183,7.500000000000001e-05
s184,7.500000000000001e-05
s185,7.500000000000001e-05
s186,2.5e-05
s187,2.5e-05
s188,2.5e-05
s189,2.5e-05
s190,2.5e-05
s191,2.5e-05
