,probability
s000,0.03768333333333334
s001,0.03768333333333334
s002,0.03768333333333334
s003,0.0285
s004,0.0285
s005,0.0285
s006,0.01995
s007,0.01995
s008,0.01995
s009,0.016622222222222226
s010,0.016622222222222226
s011,0.016622222222222226
s012,0.01615
s013,0.01615
s014,0.01615
s015,0.015200000000000002
s016,0.015200000000000002
s017,0.015200000000000002
s018,0.011399999999999999
s019,0.011399999999999999
s020,0.011399999999999999
s021,0.011399999999999999
s022,0.011399999999999999
s023,0.011399999999999999
s024,0.010133333333333334
s025,0.010133333333333334
s026,0.010133333333333334
s027,0.0095
s028,0.0095
s029,0.0095
s030,0.0095
s031,0.0095
s032,0.0095
s033,0.0095
s034,0.0095
s035,0.0095
s036,0.009444444444444446
s037,0.009444444444444446
s038,0.009444444444444446
s039,0.007555555555555557
s040,0.007555555555555557
s041,0.007555555555555557
s042,0.006533333333333335
s043,0.006533333333333335
s044,0.006533333333333335
s045,0.0064
s046,0.0064
s047,0.0064
s048,0.0064
s049,0.0064
s050,0.0064
s051,0.0064
s052,0.0064
s053,0.0064
s054,0.005699999999999999
s055,0.005699999999999999
s056,0.005699999999999999
s057,0.005699999999999999
s058,0.005699999999999999
s059,0.005699999999999999
s060,0.005699999999999999
s061,0.005699999999999999
s062,0.005699999999999999
s063,0.005699999999999999
s064,0.005699999999999999
s065,0.005699999999999999
s066,0.005383333333333333
s067,0.005383333333333333
s068,0.005383333333333333
s069,0.005383333333333333
s070,0.005383333333333333
s071,0.005383333333333333
s072,0.0048000000000000004
s073,0.0048000000000000004
s074,0.0048000000000000004
s075,0.0048000000000000004
s076,0.0048000000000000004
s077,0.0048000000000000004
s078,0.0048000000000000004
s079,0.0048000000000000004
s080,0.0048000000000000004
s081,0.004155555555555556
s082,0.004155555555555556
s083,0.004155555555555556
s084,0.0037777777777777783
s085,0.0037777777777777783
s086,0.0037777777777777783
s087,0.0032
s088,0.0032
s089,0.0032
s090,0.0028499999999999997
s091,0.0028499999999999997
s092,0.0028499999999999997
s093,0.002833333333333334
s094,0.002833333333333334
s095,0.002833333333333334
s096,0.002800000000000001
s097,0.002800000000000001
s098,0.002800000000000001
s099,0.0025333333333333336
s100,0.0025333333333333336
s101,0.0025333333333333336
s102,0.0025333333333333336
s103,0.0025333333333333336
s104,0.0025333333333333336
s105,0.002077777777777778
s106,0.002077777777777778
s107,0.002077777777777778
s108,0.002077777777777778
s109,0.002077777777777778
s110,0.002077777777777778
s111,0.0018888888888888892
s112,0.0018888888888888892
s113,0.0018888888888888892
s114,0.0017000000000000003
s115,0.0017000000000000003
s116,0.0017000000000000003
s117,0.0017000000000000003
s118,0.0017000000000000003
s119,0.0017000000000000003
s120,0.0016
s121,0.0016
s122,0.0016
s123,0.0011666666666666668
s124,0.0011666666666666668
s125,0.0011666666666666668
s126,0.0009444444444444446
s127,0.0009444444444444446
s128,0.0009444444444444446
s129,0.0009333333333333335
s130,0.0009333333333333335
s131,0.0009333333333333335
s132,0.0009333333333333335
s133,0.0009333333333333335
s134,0.0009333333333333335
s135,0.0009333333333333332
s136,0.0009333333333333332
s137,0.0009333333333333332
s138,0.000777777777777778
s139,0.000777777777777778
s140,0.000777777777777778
s141,0.0007555555555555556
s142,0.0007555555555555556
s143,0.0007555555555555556
s144,0.0006666666666666668
s145,0.0006666666666666668
s146,0.0006666666666666668
s147,0.0006666666666666668
s148,0.0006666666666666668
s149,0.0006666666666666668
s150,0.0005666666666666668
s151,0.0005666666666666668
s152,0.0005666666666666668
s153,0.0005000000000000001
s154,0.0005000000000000001
s155,0.0005000000000000001
s156,0.0004666666666666666
s157,0.0004666666666666666
s158,0.0004666666666666666
s159,0.0003777777777777778
s160,0.0003777777777777778
s161,0.0003777777777777778
s162,0.00026666666666666673
s163,0.00026666666666666673
s164,0.00026666666666666673
s165,0.0002333333333333333
s166,0.0002333333333333333
s167,0.0002333333333333333
s168,0.00022222222222222223
s169,0.00022222222222222223
s170,0.00022222222222222223
s171,0.00022222222222222223
s172,0.00022222222222222223
s173,0.00022222222222222223
s174,0.0001888888888888889
s175,0.0001888888888888889
s176,0.0001888888888888889
s177,0.0001777777777777778
s178,0.0001777777777777778
s179,0.0001777777777777778
s180,0.0001666666666666667
s181,0.0001666666666666667
s182,0.0001666666666666667
s183,0.00011111111111111112
s184,0.00011111111111111112
s185,0.00011111111111111112
s186,4.444444444444445e-05
s187,4.444444444444445e-05
s188,4.444444444444445e-05
s189,4.444444444444445e-05
s190,4.444444444444445e-05
s191,4.444444444444445e-05
