,probability
s000,0.022977777777777774
s001,0.022977777777777774
s002,0.022977777777777774
s003,0.022977777777777774
s004,0.022977777777777774
s005,0.022977777777777774
s006,0.018277777777777778
s007,0.018277777777777778
s008,0.018277777777777778
s009,0.014622222222222222
s010,0.014622222222222222
s011,0.014622222222222222
s012,0.014361111111111113
s013,0.014361111111111113
s014,0.014361111111111113
s015,0.012222222222222223
s016,0.012222222222222223
s017,0.012222222222222223
s018,0.012222222222222223
s019,0.012222222222222223
s020,0.012222222222222223
s021,0.012000000000000002
s022,0.012000000000000002
s023,0.012000000000000002
s024,0.011488888888888887
s025,0.011488888888888887
s026,0.011488888888888887
s027,0.011488888888888887
s028,0.011488888888888887
s029,0.011488888888888887
s030,0.011488888888888887
s031,0.011488888888888887
s032,0.011488888888888887
s033,0.011111111111111112
s034,0.011111111111111112
s035,0.011111111111111112
s036,0.011111111111111112
s037,0.011111111111111112
s038,0.011111111111111112
s039,0.008500000000000002
s040,0.008500000000000002
s041,0.008500000000000002
s042,0.008333333333333335
s043,0.008333333333333335
s044,0.008333333333333335
s045,0.007311111111111111
s046,0.007311111111111111
s047,0.007311111111111111
s048,0.006875000000000001
s049,0.006875000000000001
s050,0.006875000000000001
s051,0.006375000000000001
s052,0.006375000000000001
s053,0.006375000000000001
s054,0.006375000000000001
s055,0.006375000000000001
s056,0.006375000000000001
s057,0.006111111111111111
s058,0.006111111111111111
s059,0.006111111111111111
s060,0.006111111111111111
s061,0.006111111111111111
s062,0.006111111111111111
s063,0.006000000000000001
s064,0.006000000000000001
s065,0.006000000000000001
s066,0.0057444444444444435
s067,0.0057444444444444435
s068,0.0057444444444444435
s069,0.0055000000000000005
s070,0.0055000000000000005
s071,0.0055000000000000005
s072,0.0047
s073,0.0047
s074,0.0047
s075,0.004250000000000001
s076,0.004250000000000001
s077,0.004250000000000001
s078,0.004000000000000001
s079,0.004000000000000001
s080,0.004000000000000001
s081,0.003888888888888889
s082,0.003888888888888889
s083,0.003888888888888889
s084,0.003888888888888889
s085,0.003888888888888889
s086,0.003888888888888889
s087,0.0037500000000000003
s088,0.0037500000000000003
s089,0.0037500000000000003
s090,0.0036555555555555556
s091,0.0036555555555555556
s092,0.0036555555555555556
s093,0.003133333333333333
s094,0.003133333333333333
s095,0.003133333333333333
s096,0.003
s097,0.003
s098,0.003
s099,0.0029166666666666672
s100,0.0029166666666666672
s101,0.0029166666666666672
s102,0.0028722222222222218
s103,0.0028722222222222218
s104,0.0028722222222222218
s105,0.002777777777777778
s106,0.002777777777777778
s107,0.002777777777777778
s108,0.0027500000000000003
s109,0.0027500000000000003
s110,0.0027500000000000003
s111,0.002444444444444445
s112,0.002444444444444445
s113,0.002444444444444445
s114,0.0020000000000000005
s115,0.0020000000000000005
s116,0.0020000000000000005
s117,0.001955555555555556
s118,0.001955555555555556
s119,0.001955555555555556
s120,0.001955555555555556
s121,0.001955555555555556
s122,0.001955555555555556
s123,0.0018333333333333337
s124,0.0018333333333333337
s125,0.0018333333333333337
s126,0.0018333333333333337
s127,0.0018333333333333337
s128,0.0018333333333333337
s129,0.0015
s130,0.0015
s131,0.0015
s132,0.0013750000000000001
s133,0.0013750000000000001
s134,0.0013750000000000001
s135,0.0012222222222222224
s136,0.0012222222222222224
s137,0.0012222222222222224
s138,0.0012222222222222224
s139,0.0012222222222222224
s140,0.0012222222222222224
s141,0.000977777777777778
s142,0.000977777777777778
s143,0.000977777777777778
s144,0.000977777777777778
s145,0.000977777777777778
s146,0.000977777777777778
s147,0.0009722222222222223
s148,0.0009722222222222223
s149,0.0009722222222222223
s150,0.0009166666666666669
s151,0.0009166666666666669
s152,0.0009166666666666669
s153,0.0009166666666666669
s154,0.0009166666666666669
s155,0.0009166666666666669
s156,0.0007833333333333333
s157,0.0007833333333333333
s158,0.0007833333333333333
s159,0.0007833333333333333
s160,0.0007833333333333333
s161,0.0007833333333333333
s162,0.00075
s163,0.00075
s164,0.00075
s165,0.0007333333333333334
s166,0.0007333333333333334
s167,0.0007333333333333334
s168,0.0006944444444444445
s169,0.0006944444444444445
s170,0.0006944444444444445
s171,0.0006111111111111112
s172,0.0006111111111111112
s173,0.0006111111111111112
s174,0.000488888888888889
s175,0.000488888888888889
s176,0.000488888888888889
s177,0.0004166666666666667
s178,0.0004166666666666667
s179,0.0004166666666666667
s180,0.0004166666666666667
s181,0.0004166666666666667
s182,0.0004166666666666667
s183,0.0001388888888888889
s184,0.0001388888888888889
s185,0.0001388888888888889
s186,0.00012222222222222224
s187,0.00012222222222222224
s188,0.00012222222222222224
s189,0.00012222222222222224
s190,0.00012222222222222224
s191,0.00012222222222222224
