,probability
s000,0.03422222222222222
s001,0.03422222222222222
s002,0.03422222222222222
s003,0.02737777777777778
s004,0.02737777777777778
s005,0.02737777777777778
s006,0.018666666666666668
s007,0.018666666666666668
s008,0.018666666666666668
s009,0.018666666666666665
s010,0.018666666666666665
s011,0.018666666666666665
s012,0.015166666666666669
s013,0.015166666666666669
s014,0.015166666666666669
s015,0.014933333333333335
s016,0.014933333333333335
s017,0.014933333333333335
s018,0.014
s019,0.014
s020,0.014
s021,0.014
s022,0.014
s023,0.014
s024,0.01368888888888889
s025,0.01368888888888889
s026,0.01368888888888889
s027,0.012527777777777777
s028,0.012527777777777777
s029,0.012527777777777777
s030,0.010249999999999999
s031,0.010249999999999999
s032,0.010249999999999999
s033,0.009333333333333332
s034,0.009333333333333332
s035,0.009333333333333332
s036,0.0091
s037,0.0091
s038,0.0091
s039,0.0091
s040,0.0091
s041,0.0091
s042,0.007516666666666665
s043,0.007516666666666665
s044,0.007516666666666665
s045,0.007516666666666665
s046,0.007516666666666665
s047,0.007516666666666665
s048,0.0074666666666666675
s049,0.0074666666666666675
s050,0.0074666666666666675
s051,0.006844444444444445
s052,0.006844444444444445
s053,0.006844444444444445
s054,0.006833333333333332
s055,0.006833333333333332
s056,0.006833333333333332
s057,0.006533333333333333
s058,0.006533333333333333
s059,0.006533333333333333
s060,0.006533333333333333
s061,0.006533333333333333
s062,0.006533333333333333
s063,0.0052499999999999995
s064,0.0052499999999999995
s065,0.0052499999999999995
s066,0.0052499999999999995
s067,0.0052499999999999995
s068,0.0052499999999999995
s069,0.0049
s070,0.0049
s071,0.0049
s072,0.0040999999999999995
s073,0.0040999999999999995
s074,0.0040999999999999995
s075,0.0040999999999999995
s076,0.0040999999999999995
s077,0.0040999999999999995
s078,0.0037333333333333337
s079,0.0037333333333333337
s080,0.0037333333333333337
s081,0.003033333333333333
s082,0.003033333333333333
s083,0.003033333333333333
s084,0.002505555555555555
s085,0.002505555555555555
s086,0.002505555555555555
s087,0.0022777777777777774
s088,0.0022777777777777774
s089,0.0022777777777777774
s090,0.0020499999999999997
s091,0.0020499999999999997
s092,0.0020499999999999997
s093,0.0020499999999999997
s094,0.0020499999999999997
s095,0.0020499999999999997
s096,0.001708333333333333
s097,0.001708333333333333
s098,0.001708333333333333
s099,0.001708333333333333
s100,0.001708333333333333
s101,0.001708333333333333
s102,0.0016333333333333332
s103,0.0016333333333333332
s104,0.0016333333333333332
s105,0.001555555555555556
s106,0.001555555555555556
s107,0.001555555555555556
s108,0.0013666666666666664
s109,0.0013666666666666664
s110,0.0013666666666666664
s111,0.0013666666666666664
s112,0.0013666666666666664
s113,0.0013666666666666664
s114,0.0011666666666666668
s115,0.0011666666666666668
s116,0.0011666666666666668
s117,0.0011666666666666668
s118,0.0011666666666666668
s119,0.0011666666666666668
s120,0.0011666666666666668
s121,0.0011666666666666668
s122,0.0011666666666666668
s123,0.0011666666666666668
s124,0.0011666666666666668
s125,0.0011666666666666668
s126,0.00105
s127,0.00105
s128,0.00105
s129,0.00105
s130,0.00105
s131,0.00105
s132,0.0009333333333333334
s133,0.0009333333333333334
s134,0.0009333333333333334
s135,0.0009333333333333334
s136,0.0009333333333333334
s137,0.0009333333333333334
s138,0.0008333333333333333
s139,0.0008333333333333333
s140,0.0008333333333333333
s141,0.0006666666666666666
s142,0.0006666666666666666
s143,0.0006666666666666666
s144,0.00046666666666666655
s145,0.00046666666666666655
s146,0.00046666666666666655
s147,0.00046666666666666655
s148,0.00046666666666666655
s149,0.00046666666666666655
s150,0.00045555555555555546
s151,0.00045555555555555546
s152,0.00045555555555555546
s153,0.0003888888888888889
s154,0.0003888888888888889
s155,0.0003888888888888889
s156,0.0003888888888888889
s157,0.0003888888888888889
s158,0.0003888888888888889
s159,0.00034999999999999994
s160,0.00034999999999999994
s161,0.00034999999999999994
s162,0.0003333333333333333
s163,0.0003333333333333333
s164,0.0003333333333333333
s165,0.0003111111111111111
s166,0.0003111111111111111
s167,0.0003111111111111111
s168,0.0002916666666666667
s169,0.0002916666666666667
s170,0.0002916666666666667
s171,0.00016666666666666666
s172,0.00016666666666666666
s173,0.00016666666666666666
s174,0.00016666666666666666
s175,0.00016666666666666666
s176,0.00016666666666666666
s177,0.00016666666666666666
s178,0.00016666666666666666
s179,0.00016666666666666666
s180,0.00011666666666666664
s181,0.00011666666666666664
s182,0.00011666666666666664
s183,9.722222222222223e-05
s184,9.722222222222223e-05
s185,9.722222222222223e-05
s186,8.333333333333333e-05
s187,8.333333333333333e-05
s188,8.333333333333333e-05
s189,8.333333333333333e-05
s190,8.333333333333333e-05
s191,8.333333333333333e-05
