,probability
s000,0.021083333333333336
s001,0.021083333333333336
s002,0.021083333333333336
s003,0.018783333333333336
s004,0.018783333333333336
s005,0.018783333333333336
s006,0.01796666666666667
s007,0.01796666666666667
s008,0.01796666666666667
s009,0.016866666666666665
s010,0.016866666666666665
s011,0.016866666666666665
s012,0.01629166666666667
s013,0.01629166666666667
s014,0.01629166666666667
s015,0.01629166666666667
s016,0.01629166666666667
s017,0.01629166666666667
s018,0.014055555555555557
s019,0.014055555555555557
s020,0.014055555555555557
s021,0.011000000000000001
s022,0.011000000000000001
s023,0.011000000000000001
s024,0.009391666666666668
s025,0.009391666666666668
s026,0.009391666666666668
s027,0.009000000000000001
s028,0.009000000000000001
s029,0.009000000000000001
s030,0.008983333333333334
s031,0.008983333333333334
s032,0.008983333333333334
s033,0.0088
s034,0.0088
s035,0.0088
s036,0.008433333333333334
s037,0.008433333333333334
s038,0.008433333333333334
s039,0.008433333333333334
s040,0.008433333333333334
s041,0.008433333333333334
s042,0.008433333333333333
s043,0.008433333333333333
s044,0.008433333333333333
s045,0.007666666666666668
s046,0.007666666666666668
s047,0.007666666666666668
s048,0.007666666666666668
s049,0.007666666666666668
s050,0.007666666666666668
s051,0.007027777777777779
s052,0.007027777777777779
s053,0.007027777777777779
s054,0.006261111111111112
s055,0.006261111111111112
s056,0.006261111111111112
s057,0.00598888888888889
s058,0.00598888888888889
s059,0.00598888888888889
s060,0.005622222222222222
s061,0.005622222222222222
s062,0.005622222222222222
s063,0.005366666666666667
s064,0.005366666666666667
s065,0.005366666666666667
s066,0.004600000000000001
s067,0.004600000000000001
s068,0.004600000000000001
s069,0.0045000000000000005
s070,0.0045000000000000005
s071,0.0045000000000000005
s072,0.0044
s073,0.0044
s074,0.0044
s075,0.004216666666666666
s076,0.004216666666666666
s077,0.004216666666666666
s078,0.004025000000000001
s079,0.004025000000000001
s080,0.004025000000000001
s081,0.004025000000000001
s082,0.004025000000000001
s083,0.004025000000000001
s084,0.003833333333333334
s085,0.003833333333333334
s086,0.003833333333333334
s087,0.003833333333333334
s088,0.003833333333333334
s089,0.003833333333333334
s090,0.0032666666666666673
s091,0.0032666666666666673
s092,0.0032666666666666673
s093,0.0032583333333333336
s094,0.0032583333333333336
s095,0.0032583333333333336
s096,0.0032583333333333336
s097,0.0032583333333333336
s098,0.0032583333333333336
s099,0.0032000000000000006
s100,0.0032000000000000006
s101,0.0032000000000000006
s102,0.0032000000000000006
s103,0.0032000000000000006
s104,0.0032000000000000006
s105,0.003130555555555556
s106,0.003130555555555556
s107,0.003130555555555556
s108,0.0030000000000000005
s109,0.0030000000000000005
s110,0.0030000000000000005
s111,0.002994444444444445
s112,0.002994444444444445
s113,0.002994444444444445
s114,0.002811111111111111
s115,0.002811111111111111
s116,0.002811111111111111
s117,0.002811111111111111
s118,0.002811111111111111
s119,0.002811111111111111
s120,0.0026833333333333336
s121,0.0026833333333333336
s122,0.0026833333333333336
s123,0.0023000000000000004
s124,0.0023000000000000004
s125,0.0023000000000000004
s126,0.0022
s127,0.0022
s128,0.0022
s129,0.002177777777777778
s130,0.002177777777777778
s131,0.002177777777777778
s132,0.002
s133,0.002
s134,0.002
s135,0.0016000000000000003
s136,0.0016000000000000003
s137,0.0016000000000000003
s138,0.0016000000000000003
s139,0.0016000000000000003
s140,0.0016000000000000003
s141,0.0015333333333333336
s142,0.0015333333333333336
s143,0.0015333333333333336
s144,0.0015333333333333336
s145,0.0015333333333333336
s146,0.0015333333333333336
s147,0.0015000000000000002
s148,0.0015000000000000002
s149,0.0015000000000000002
s150,0.0015000000000000002
s151,0.0015000000000000002
s152,0.0015000000000000002
s153,0.0015000000000000002
s154,0.0015000000000000002
s155,0.0015000000000000002
s156,0.0014055555555555555
s157,0.0014055555555555555
s158,0.0014055555555555555
s159,0.001
s160,0.001
s161,0.001
s162,0.000952777777777778
s163,0.000952777777777778
s164,0.000952777777777778
s165,0.0007666666666666668
s166,0.0007666666666666668
s167,0.0007666666666666668
s168,0.0007666666666666668
s169,0.0007666666666666668
s170,0.0007666666666666668
s171,0.0005444444444444445
s172,0.0005444444444444445
s173,0.0005444444444444445
s174,0.0005444444444444445
s175,0.0005444444444444445
s176,0.0005444444444444445
s177,0.0005111111111111112
s178,0.0005111111111111112
s179,0.0005111111111111112
s180,0.0004083333333333334
s181,0.0004083333333333334
s182,0.0004083333333333334
s183,0.0002555555555555556
s184,0.0002555555555555556
s185,0.0002555555555555556
s186,0.00013611111111111113
s187,0.00013611111111111113
s188,0.00013611111111111113
s189,0.00013611111111111113
s190,0.00013611111111111113
s191,0.00013611111111111113
