,probability
s000,0.022711111111111116
s001,0.022711111111111116
s002,0.022711111111111116
s003,0.022305555555555558
s004,0.022305555555555558
s005,0.022305555555555558
s006,0.017944444444444447
s007,0.017944444444444447
s008,0.017944444444444447
s009,0.015200000000000002
s010,0.015200000000000002
s011,0.015200000000000002
s012,0.014930555555555556
s013,0.014930555555555556
s014,0.014930555555555556
s015,0.014355555555555557
s016,0.014355555555555557
s017,0.014355555555555557
s018,0.013383333333333334
s019,0.013383333333333334
s020,0.013383333333333334
s021,0.010133333333333334
s022,0.010133333333333334
s023,0.010133333333333334
s024,0.010133333333333334
s025,0.010133333333333334
s026,0.010133333333333334
s027,0.009733333333333335
s028,0.009733333333333335
s029,0.009733333333333335
s030,0.009500000000000001
s031,0.009500000000000001
s032,0.009500000000000001
s033,0.008958333333333334
s034,0.008958333333333334
s035,0.008958333333333334
s036,0.008958333333333334
s037,0.008958333333333334
s038,0.008958333333333334
s039,0.008922222222222222
s040,0.008922222222222222
s041,0.008922222222222222
s042,0.008922222222222222
s043,0.008922222222222222
s044,0.008922222222222222
s045,0.007600000000000001
s046,0.007600000000000001
s047,0.007600000000000001
s048,0.007600000000000001
s049,0.007600000000000001
s050,0.007600000000000001
s051,0.007177777777777779
s052,0.007177777777777779
s053,0.007177777777777779
s054,0.0065694444444444455
s055,0.0065694444444444455
s056,0.0065694444444444455
s057,0.0064888888888888895
s058,0.0064888888888888895
s059,0.0064888888888888895
s060,0.005972222222222223
s061,0.005972222222222223
s062,0.005972222222222223
s063,0.005700000000000001
s064,0.005700000000000001
s065,0.005700000000000001
s066,0.005066666666666667
s067,0.005066666666666667
s068,0.005066666666666667
s069,0.004866666666666668
s070,0.004866666666666668
s071,0.004866666666666668
s072,0.004866666666666668
s073,0.004866666666666668
s074,0.004866666666666668
s075,0.004866666666666668
s076,0.004866666666666668
s077,0.004866666666666668
s078,0.003941666666666667
s079,0.003941666666666667
s080,0.003941666666666667
s081,0.003941666666666667
s082,0.003941666666666667
s083,0.003941666666666667
s084,0.0038000000000000004
s085,0.0038000000000000004
s086,0.0038000000000000004
s087,0.0038000000000000004
s088,0.0038000000000000004
s089,0.0038000000000000004
s090,0.0035888888888888893
s091,0.0035888888888888893
s092,0.0035888888888888893
s093,0.0035833333333333338
s094,0.0035833333333333338
s095,0.0035833333333333338
s096,0.0035833333333333338
s097,0.0035833333333333338
s098,0.0035833333333333338
s099,0.0032444444444444448
s100,0.0032444444444444448
s101,0.0032444444444444448
s102,0.0032444444444444448
s103,0.0032444444444444448
s104,0.0032444444444444448
s105,0.0032444444444444448
s106,0.0032444444444444448
s107,0.0032444444444444448
s108,0.0030000000000000005
s109,0.0030000000000000005
s110,0.0030000000000000005
s111,0.002986111111111111
s112,0.002986111111111111
s113,0.002986111111111111
s114,0.0025333333333333336
s115,0.0025333333333333336
s116,0.0025333333333333336
s117,0.0025333333333333336
s118,0.0025333333333333336
s119,0.0025333333333333336
s120,0.002433333333333334
s121,0.002433333333333334
s122,0.002433333333333334
s123,0.002388888888888889
s124,0.002388888888888889
s125,0.002388888888888889
s126,0.0018000000000000002
s127,0.0018000000000000002
s128,0.0018000000000000002
s129,0.0016222222222222224
s130,0.0016222222222222224
s131,0.0016222222222222224
s132,0.0014333333333333336
s133,0.0014333333333333336
s134,0.0014333333333333336
s135,0.0013333333333333335
s136,0.0013333333333333335
s137,0.0013333333333333335
s138,0.001313888888888889
s139,0.001313888888888889
s140,0.001313888888888889
s141,0.0012000000000000001
s142,0.0012000000000000001
s143,0.0012000000000000001
s144,0.0012000000000000001
s145,0.0012000000000000001
s146,0.0012000000000000001
s147,0.0011944444444444446
s148,0.0011944444444444446
s149,0.0011944444444444446
s150,0.0009555555555555556
s151,0.0009555555555555556
s152,0.0009555555555555556
s153,0.0009555555555555556
s154,0.0009555555555555556
s155,0.0009555555555555556
s156,0.0008111111111111112
s157,0.0008111111111111112
s158,0.0008111111111111112
s159,0.0008
s160,0.0008
s161,0.0008
s162,0.0008
s163,0.0008
s164,0.0008
s165,0.0007111111111111113
s166,0.0007111111111111113
s167,0.0007111111111111113
s168,0.0005333333333333335
s169,0.0005333333333333335
s170,0.0005333333333333335
s171,0.0005333333333333335
s172,0.0005333333333333335
s173,0.0005333333333333335
s174,0.0003555555555555556
s175,0.0003555555555555556
s176,0.0003555555555555556
s177,0.0002666666666666667
s178,0.0002666666666666667
s179,0.0002666666666666667
s180,0.0002666666666666667
s181,0.0002666666666666667
s182,0.0002666666666666667
s183,0.0002666666666666667
s184,0.0002666666666666667
s185,0.0002666666666666667
s186,0.00013333333333333334
s187,0.00013333333333333334
s188,0.00013333333333333334
s189,0.00013333333333333334
s190,0.00013333333333333334
s191,0.00013333333333333334
