date,value_mill_m3
1993-04-05,100.3207
1993-04-13,88.12262
1993-04-19,80.08459
1993-04-26,80.53113
1993-05-03,115.4139
1993-05-10,133.9864
1993-05-18,148.8588
1993-05-24,156.2234
1993-06-07,162.4289
1993-06-14,163.2452
1993-06-21,163.4087
1993-06-28,163.7351
1993-07-05,163.7351
1993-07-12,163.7351
1993-07-19,165.8581
1993-07-26,166.8379
1993-08-02,167.9811
1993-08-09,178.7589
1993-08-16,182.8414
1993-08-23,184.1476
1993-08-30,184.801
1993-09-06,184.9644
1993-09-13,185.2908
1993-09-20,184.9644
1993-09-27,186.1071
1993-10-04,187.7402
1993-10-11,198.1112
1993-10-18,206.4962
1993-10-25,210.5213
1993-11-01,205.1548
1993-11-08,200.4592
1993-11-15,197.7759
1993-11-22,193.4156
1993-11-29,188.3936
1993-12-06,180.7185
1993-12-13,174.1866
1993-12-20,167.6542
1993-12-27,164.7149
1994-01-03,156.8768
1994-01-10,148.5459
1994-01-17,139.309
1994-01-24,130.2293
1994-01-31,120.549
1994-02-07,110.2793
1994-02-14,99.54288
1994-02-21,88.42016
1994-02-28,76.80988
1994-03-07,65.49759
1994-03-14,56.29988
1994-03-21,46.64027
1994-03-28,35.72737
1994-04-04,34.53492
1994-04-11,29.76511
1994-04-18,27.51244
1994-04-25,26.98273
1994-04-27,31.48768
1994-04-29,39.64027
1994-05-02,58.11995
1994-05-24,152.3029
1994-05-26,156.06
1994-05-28,158.183
1994-05-29,159.6526
1994-05-30,161.4492
1994-05-31,162.7554
1994-06-01,163.5717
1994-06-02,165.0418
1994-06-03,165.5317
1994-06-04,165.6946
1994-06-05,166.348
1994-06-06,167.8176
1994-06-09,169.2873
1994-06-10,171.5737
1994-06-11,172.0636
1994-06-12,172.0636
1994-06-13,173.0433
1994-06-14,173.6967
1994-06-15,173.8596
1994-06-16,173.8596
1994-06-17,174.513
1994-06-18,174.8394
1994-06-19,175.0029
1994-06-20,174.8394
1994-06-21,175.3293
1994-06-22,175.8192
1994-06-23,175.9826
1994-06-24,176.309
1994-06-27,175.9826
1994-06-28,176.9624
1994-06-29,176.7994
1994-07-04,176.7994
1994-07-05,177.4523
1994-07-06,177.6157
1994-07-07,177.4523
1994-07-08,177.4523
1994-07-11,177.6157
1994-07-14,178.5955
1994-07-18,179.4118
1994-07-19,179.4118
1994-07-20,179.4118
1994-07-21,179.5752
1994-07-22,179.5752
1994-07-25,179.7387
1994-07-26,179.7387
1994-07-27,179.9017
1994-07-28,179.7387
1994-08-01,180.2286
1994-08-08,180.7185
1994-08-15,181.0449
1994-08-22,182.0246
1994-08-26,184.6375
1994-08-29,193.9187
1994-09-05,201.9684
1994-09-06,202.8067
1994-09-08,204.6517
1994-09-10,211.8627
1994-09-12,217.7323
1994-09-15,223.2932
1994-09-16,225.1876
1994-09-19,230.181
1994-09-22,233.1087
1994-09-26,235.0026
1994-09-29,236.0363
1994-10-03,237.7579
1994-10-06,238.1026
1994-10-10,233.7976
1994-10-13,229.8368
1994-10-14,229.3203
1994-10-15,228.4595
1994-10-17,224.8429
1994-10-18,223.6379
1994-10-19,222.7766
1994-10-20,221.2538
1994-10-21,220.2477
1994-10-22,218.9063
1994-10-23,218.4032
1994-10-24,217.7323
1994-10-25,218.2354
1994-10-26,219.4094
1994-10-27,221.2538
1994-10-28,224.6711
1994-10-29,226.2208
1994-10-30,228.1147
1994-10-31,229.6645
1994-11-01,231.5589
1994-11-02,232.7645
1994-11-03,233.4529
1994-11-04,232.7645
1994-11-07,230.181
1994-11-08,230.0092
1994-11-09,229.3203
1994-11-10,228.4595
1994-11-11,227.7705
1994-11-12,226.9097
1994-11-13,226.0484
1994-11-14,225.1876
1994-11-15,224.8429
1994-11-16,224.6711
1994-11-17,223.9821
1994-11-18,223.6379
1994-11-19,222.4324
1994-11-21,221.086
1994-11-22,220.2477
1994-11-23,218.5706
1994-11-24,220.7508
1994-11-25,220.2477
1994-11-26,219.7446
1994-11-27,219.0737
1994-11-28,218.4032
1994-11-30,217.7323
1994-12-01,216.0552
1994-12-02,214.8811
1994-12-03,214.0429
1994-12-04,213.0367
1994-12-05,211.5275
1994-12-06,210.8565
1994-12-07,210.0182
1994-12-09,208.5085
1994-12-10,207.6702
1994-12-11,207.335
1994-12-12,206.3288
1994-12-13,206.1609
1994-12-14,205.49
1994-12-15,204.4838
1994-12-16,203.3098
1994-12-19,204.9869
1994-12-20,208.1733
1994-12-21,207.5023
1994-12-22,207.1671
1994-12-23,206.4962
1994-12-24,205.9931
1994-12-25,205.3221
1994-12-26,204.8191
1994-12-27,204.8191
1994-12-28,203.8129
1994-12-29,203.3098
1994-12-30,202.4715
1994-12-31,201.8006
1995-01-01,200.4592
1995-01-02,199.1173
1995-01-03,198.4469
1995-01-04,197.4407
1995-01-05,196.0988
1995-01-06,195.0927
1995-01-09,190.565
1995-01-10,190.3971
1995-01-11,189.0557
1995-01-12,187.5768
1995-01-13,186.597
1995-01-16,182.1881
1995-01-17,181.5348
1995-01-18,181.5348
1995-01-19,182.678
1995-01-20,183.6577
1995-01-21,183.8212
1995-01-22,183.4943
1995-01-23,182.678
1995-01-24,182.0246
1995-01-25,181.0449
1995-01-26,180.3915
1995-01-27,178.9219
1995-01-30,174.6764
1995-01-31,173.5332
1995-02-01,172.5535
1995-02-02,171.4102
1995-02-03,169.9406
1995-02-04,168.6344
1995-02-05,167.3277
1995-02-06,165.5317
1995-02-07,164.3885
1995-02-08,163.5717
1995-02-09,162.5919
1995-02-10,161.1223
1995-02-13,157.0398
1995-02-14,156.06
1995-02-15,155.2774
1995-02-17,154.4944
1995-02-20,155.1207
1995-02-22,153.0855
1995-02-23,152.4597
1995-02-24,151.3637
1995-02-25,150.111
1995-02-26,148.8588
1995-02-27,146.9803
1995-02-28,146.041
1995-03-02,144.0058
1995-03-03,142.4402
1995-03-04,141.188
1995-03-05,139.9354
1995-03-06,138.6832
1995-03-07,137.5872
1995-03-09,135.0824
1995-03-10,133.5168
1995-03-11,131.9512
1995-03-12,130.5423
1995-03-13,129.1334
1995-03-14,128.8204
1995-03-15,128.1941
1995-03-16,126.0027
1995-03-17,124.75
1995-03-18,123.6607
1995-03-19,122.2603
1995-03-20,121.0157
1995-03-21,119.1486
1995-03-22,117.5925
1995-03-23,116.5032
1995-03-24,114.9471
1995-03-25,113.5468
1995-03-26,112.1464
1995-03-27,110.4351
1995-03-28,109.19
1995-03-29,107.6339
1995-03-30,105.9225
1995-03-31,104.2107
1995-04-01,102.4993
1995-04-02,101.099
1995-04-03,99.54288
1995-04-04,98.14253
1995-04-05,96.43069
1995-04-07,93.33246
1995-04-08,91.99287
1995-04-09,90.65327
1995-04-10,89.61121
1995-04-11,86.63403
1995-04-12,85.44343
1995-04-13,85.88996
1995-04-14,87.22955
1995-04-15,88.42016
1995-04-16,89.61121
1995-04-17,89.90875
1995-04-18,89.90875
1995-04-19,89.31322
1995-04-20,88.12262
1995-04-21,87.22955
1995-04-22,86.33649
1995-04-23,85.59197
1995-04-24,85.74097
1995-04-25,86.1875
1995-04-26,89.75975
1995-04-27,93.33246
1995-04-28,95.1861
1995-04-29,95.49712
1995-04-30,95.34184
1995-05-01,95.80862
1995-05-02,97.8315
1995-05-03,98.60931
1995-05-04,99.8539
1995-05-05,103.8997
1995-05-08,121.0157
1995-05-09,124.5942
1995-05-10,129.1334
1995-05-11,132.1079
1995-05-12,134.456
1995-05-13,136.4912
1995-05-15,139.1528
1995-05-17,138.9961
1995-05-18,138.9961
1995-05-19,138.8394
1995-05-20,138.8394
1995-05-21,138.9961
1995-05-22,139.1528
1995-05-29,155.5904
1995-06-05,178.432
1995-06-12,196.0988
1995-06-13,196.0988
1995-06-14,199.6204
1995-06-15,201.2975
1995-06-16,203.1425
1995-06-17,205.1548
1995-06-19,209.6825
1995-06-20,211.3596
1995-06-21,212.701
1995-06-22,213.5398
1995-06-23,214.3781
1995-06-24,214.8811
1995-06-25,215.5521
1995-06-26,216.0552
1995-06-27,216.223
1995-06-28,216.3904
1995-06-29,216.7261
1995-06-30,216.8935
1995-07-01,217.0613
1995-07-02,217.3965
1995-07-03,217.3965
1995-07-04,217.3965
1995-07-05,217.5644
1995-07-06,217.3965
1995-07-07,217.5644
1995-07-08,217.7323
1995-07-09,217.7323
1995-07-10,217.8996
1995-07-11,217.8996
1995-07-12,217.8996
1995-07-13,218.0675
1995-07-14,218.0675
1995-07-15,218.0675
1995-07-16,218.0675
1995-07-17,218.0675
1995-07-18,218.2354
1995-07-19,218.2354
1995-07-20,218.2354
1995-07-21,218.2354
1995-07-22,218.2354
1995-07-23,218.4032
1995-07-24,218.4032
1995-07-25,218.4032
1995-07-26,218.4032
1995-07-27,218.2354
1995-07-28,218.2354
1995-07-29,218.2354
1995-07-30,218.2354
1995-07-31,218.0675
1995-08-01,217.7323
1995-08-02,217.8996
1995-08-03,217.7323
1995-08-04,217.2292
1995-08-06,217.2292
1995-08-07,217.0613
1995-08-08,216.8935
1995-08-09,216.7261
1995-08-10,216.3904
1995-08-11,216.3904
1995-08-12,216.3904
1995-08-13,216.3904
1995-08-14,216.223
1995-08-15,215.72
1995-08-16,215.5521
1995-08-17,215.2169
1995-08-18,213.875
1995-08-19,213.875
1995-08-20,213.875
1995-08-21,213.875
1995-08-22,213.7071
1995-08-23,213.5398
1995-08-24,213.5398
1995-08-25,213.3719
1995-08-26,213.3719
1995-08-27,213.2041
1995-08-28,213.2041
1995-08-29,212.8688
1995-08-30,212.8688
1995-08-31,212.701
1995-09-01,212.5336
1995-09-02,212.701
1995-09-03,213.0367
1995-09-04,213.2041
1995-09-05,213.5398
1995-09-06,214.2107
1995-09-07,215.5521
1995-09-08,217.8996
1995-09-09,218.9063
1995-09-10,219.7446
1995-09-11,220.4155
1995-09-12,222.7766
1995-09-13,225.8761
1995-09-14,227.9429
1995-09-15,231.9032
1995-09-16,235.6916
1995-09-17,239.1358
1995-09-18,241.5463
1995-09-19,243.0961
1995-09-20,243.0961
1995-09-21,242.7518
1995-09-22,242.9242
1995-09-23,242.7518
1995-09-24,242.5795
1995-09-25,242.4076
1995-09-26,243.0961
1995-09-27,243.2684
1995-09-28,243.0961
1995-09-29,242.9242
1995-09-30,242.4076
1995-10-01,241.7187
1995-10-02,241.0297
1995-10-03,240.5132
1995-10-04,239.8247
1995-10-05,240.6855
1995-10-06,241.3745
1995-10-07,241.8911
1995-10-08,242.4076
1995-10-09,242.7518
1995-10-10,242.2353
1995-10-11,241.8911
1995-10-12,241.0297
1995-10-13,240.5132
1995-10-14,239.6524
1995-10-15,238.6192
1995-10-16,237.5861
1995-10-17,236.8971
1995-10-18,236.3805
1995-10-19,235.0026
1995-10-20,234.6584
1995-10-21,234.3142
1995-10-22,234.6584
1995-10-23,235.0026
1995-10-24,235.3474
1995-10-25,236.0363
1995-10-26,237.4137
1995-10-27,238.2745
1995-10-28,238.9634
1995-10-29,239.6524
1995-10-30,240.1689
1995-10-31,240.8579
1995-11-01,241.3745
1995-11-02,241.3745
1995-11-03,240.3413
1995-11-04,239.1358
1995-11-05,237.9303
1995-11-06,236.5529
1995-11-07,235.5197
1995-11-08,234.1418
1995-11-09,233.1087
1995-11-10,231.9032
1995-11-11,230.5258
1995-11-12,228.976
1995-11-13,227.4263
1995-11-14,226.565
1995-11-15,225.1876
1995-11-16,223.6379
1995-11-17,222.4324
1995-11-18,220.9186
1995-11-19,219.4094
1995-11-20,217.7323
1995-11-21,216.3904
1995-11-22,215.2169
1995-11-23,213.5398
1995-11-24,212.0305
1995-11-25,210.8565
1995-11-26,209.5146
1995-11-27,208.0054
1995-11-28,206.8319
1995-11-29,205.6579
1995-11-30,204.4838
1995-12-01,203.1425
1995-12-02,201.9684
1995-12-03,200.7944
1995-12-04,199.1173
1995-12-05,197.6081
1995-12-06,196.2667
1995-12-07,194.9248
1995-12-08,193.5835
1995-12-09,192.7446
1995-12-10,192.9125
1995-12-11,193.0804
1995-12-12,193.7513
1995-12-13,193.7513
1995-12-14,194.0865
1995-12-15,193.0804
1995-12-16,192.0742
1995-12-17,192.2416
