week_start,inflow_GWh_week,price_avg_NOK_MWh,price_std_NOK_MWh,iso_year,iso_week
1999-12-27,57.1574580192,124.17999425387498,0.10213768728180272,1999,52
2000-01-03,56.225840774400005,121.06831680584523,10.624722922785592,2000,1
2000-01-10,51.5677545504,117.46761196428572,3.6465527254248844,2000,2
2000-01-17,46.6356632544,120.26414144008334,3.587067830983241,2000,3
2000-01-24,45.5944439808,136.40966121189882,29.88498834891229,2000,4
2000-01-31,45.1012348512,117.38843597760714,10.631559276739068,2000,5
2000-02-07,53.924198169600004,99.34902619047618,7.468444416640046,2000,6
2000-02-14,50.088127161600006,102.74275,3.609263149745319,2000,7
2000-02-21,44.2244186208,102.68704833346132,10.166651913568005,2000,8
2000-02-28,55.9518357024,92.250776875,5.078137821319592,2000,9
2000-03-06,50.307331219199995,86.55321452380952,1.8903577631101707,2000,10
2000-03-13,43.62160746239999,88.95634720238095,2.216606690524115,2000,11
2000-03-20,42.9091942752,88.0783955952381,1.9793829691326106,2000,12
2000-03-27,42.2515821024,105.63898660706846,11.119663142921393,2000,13
2000-04-03,45.923250067199994,134.22377381779464,19.15694427395527,2000,14
2000-04-10,52.992580924799995,112.47665990280952,14.334622736284823,2000,15
2000-04-17,56.3902438176,91.62519273809525,9.531451606697594,2000,16
2000-04-24,49.7593210752,76.75412020833333,13.137817282069346,2000,17
2000-05-01,37.045485734399996,63.25509035714286,16.66269661946033,2000,18
2000-05-08,27.2361041568,62.58400377976191,4.958100415646882,2000,19
2000-05-15,19.7831661984,49.22646758928571,5.816065204381305,2000,20
2000-05-22,19.1255540256,65.88244422619047,7.180394835938664,2000,21
2000-05-29,42.0323780448,64.59652577380952,4.509126484092654,2000,22
2000-06-05,29.7569508192,78.41696967261905,9.42336509120186,2000,23
2000-06-12,19.6187631552,76.74744148809523,4.610609015766342,2000,24
2000-06-19,17.7555286656,79.71452839285715,7.339914784527327,2000,25
2000-06-26,16.6047073632,71.17293101190477,8.130542396680099,2000,26
2000-07-03,19.0159519968,58.580599285714285,7.310884504888483,2000,27
2000-07-10,35.8398634176,43.33028360119048,8.57689655964124,2000,28
2000-07-17,29.9761548768,38.42917922619048,3.549771650282086,2000,29
2000-07-24,27.6197112576,47.667903482142854,6.397929997310704,2000,30
2000-07-31,28.6061295168,64.56946357142857,6.844323406003577,2000,31
2000-08-07,23.29043112,79.35536586309524,4.45032889168334,2000,32
2000-08-14,29.044537631999997,78.08722494047619,10.376258970319759,2000,33
2000-08-21,45.8136480384,73.91094068452381,2.784434749110545,2000,34
2000-08-28,41.813173987199995,85.57856610119048,2.9975882929656836,2000,35
2000-09-04,43.183199347199995,93.6223831845238,7.048407589254356,2000,36
2000-09-11,47.8412855712,99.77998414817262,7.446926814759222,2000,37
2000-09-18,61.103131055999995,113.17910943521726,7.40068056101538,2000,38
2000-09-25,60.1715138112,117.09990563647618,6.277083422276364,2000,39
2000-10-02,57.815070192,120.43282245854166,0.846551235682152,2000,40
2000-10-09,139.9069897632,126.67866279750595,6.226847163917771,2000,41
2000-10-16,138.7561684608,117.63143635081845,13.488902715658707,2000,42
2000-10-23,118.4249921184,110.98432175803676,13.383416352089657,2000,43
2000-10-30,227.80781686080002,123.50259134109524,7.527880731396791,2000,44
2000-11-06,247.26217697279998,123.14847295278868,12.095551316565576,2000,45
2000-11-13,234.1099335168,136.5130300000625,8.381015633522441,2000,46
2000-11-20,222.9853275936,135.9439044048125,10.874887506763953,2000,47
2000-11-27,181.1721536064,132.1975306246964,9.317444502165664,2000,48
2000-12-04,134.26248528,126.71333135853571,5.718551818062721,2000,49
2000-12-11,125.3299199328,125.5441559304256,3.1435707958856463,2000,50
2000-12-18,60.390717868799996,156.1652996530982,25.397187939862985,2000,51
2000-12-25,51.4033515072,137.1708273502857,10.430655892068202,2000,52
2001-01-01,70.145298432,140.19379258933333,11.983123755485348,2001,1
2001-01-08,66.8024365536,162.12680357745833,21.37842437024124,2001,2
2001-01-15,52.0061626656,199.99309004894644,34.26530751824027,2001,3
2001-01-22,64.9940030784,163.1369308047292,9.696718208001949,2001,4
2001-01-29,56.7738509184,216.98605848580357,83.99181229606532,2001,5
2001-02-05,54.965417443199996,271.95768254664284,171.26564590551317,2001,6
2001-02-12,53.211784982400005,170.06860783437796,5.301643213105065,2001,7
2001-02-19,50.964943392,181.24070468547617,16.74433879475766,2001,8
2001-02-26,49.5401170176,264.11649332905057,57.16041162511966,2001,9
2001-03-05,48.224892671999996,197.4238525094524,10.77962526267883,2001,10
2001-03-12,53.321387011199995,194.11110755289582,3.3728737884809146,2001,11
2001-03-19,51.2937494784,213.72812981294643,7.942986799650268,2001,12
2001-03-26,49.594918031999995,217.91604539419046,17.04806406140488,2001,13
2001-04-02,75.4609968288,208.97271431225298,7.853071964235519,2001,14
2001-04-09,64.7747990208,202.74849355641368,4.389834946213693,2001,15
2001-04-16,55.9518357024,222.2170001117619,16.801313896200988,2001,16
2001-04-23,72.4469410368,229.1433618556637,17.45486795976347,2001,17
2001-04-30,73.1045532096,212.15376930956546,8.33959162635013,2001,18
2001-05-07,69.7068903168,189.64599239771724,30.85381762437527,2001,19
